cluster_id	Amplitude	ContamPct	KSLabel	amp	ch	depth	fr	group	n_spikes	sh
1115	2886.90000000	100.00000000	mua	99.56668854	20	220.00000000	0.26211593	good	662	0
1117	2867.50000000	100.00000000	mua	81.77217865	49	520.00000000	0.19361736	good	489	0
1118	2537.80000000	100.00000000	good	80.55913544	29	300.00000000	0.33061451	mua	835	0
1120	2530.90000000	100.00000000	mua	129.18898010	20	220.00000000	0.37694013	mua	952	0
1121	2530.90000000	100.00000000	mua	131.59759521	20	220.00000000	2.39507444	mua	6049	0
1122	2524.20000000	100.00000000	mua	83.45267487	6	80.00000000	0.16827685	good	425	0
1126	2477.20000000	100.00000000	good	55.38586426	44	460.00000000	0.01346215	mua	34	0
1127	2477.20000000	100.00000000	good	55.63440704	44	460.00000000	2.04189104	good	5157	0
1128	2115.50000000	100.00000000	mua	96.69332886	57	600.00000000	0.16827685	mua	425	0
1129	1963.60000000	100.00000000	mua	71.53884888	31	320.00000000	0.20074438	good	507	0
1130	1789.20000000	100.00000000	good	55.45885086	82	860.00000000	0.23083624	mua	583	0
1131	1789.20000000	100.00000000	good	55.45885086	82	860.00000000	3.67516630	mua	9282	0
1132	1610.00000000	100.00000000	mua	79.03642273	64	660.00000000	0.07364587	mua	186	0
1134	1610.00000000	100.00000000	mua	79.03642273	64	660.00000000	0.16906874	good	427	0
1135	1610.00000000	100.00000000	mua	79.03642273	64	660.00000000	2.77993348	mua	7021	0
1136	1300.10000000	100.00000000	good	52.69272614	89	920.00000000	0.46761166	mua	1181	0
1137	1279.00000000	100.00000000	mua	52.92081070	16	180.00000000	0.17698765	good	447	0
1139	1279.00000000	100.00000000	mua	52.92081070	16	180.00000000	0.01267026	mua	32	0
1140	1279.00000000	100.00000000	mua	52.92081070	16	180.00000000	10.32229965	good	26070	0
1141	1435.80000000	100.00000000	mua	67.55989838	45	480.00000000	0.16946468	good	428	0
1142	1435.80000000	100.00000000	mua	67.55989838	45	480.00000000	2.05654102	mua	5194	0
1143	3123.20000000	100.00000000	good	89.61924744	14	160.00000000	1.09835287	good	2774	0
1147	3133.50000000	100.00000000	good	70.64183807	53	560.00000000	1.74493190	good	4407	0
1148	3133.50000000	100.00000000	good	70.64183807	53	560.00000000	1.72236300	good	4350	0
1149	3408.10000000	100.00000000	mua	87.33885193	28	300.00000000	0.38525499	good	973	0
1150	3408.10000000	100.00000000	mua	87.33885193	28	300.00000000	2.10049097	good	5305	0
